business_name,category,phone,website,notes
"Big Sky Plumbing & Heating",Plumbing+HVAC,406-443-0336,https://bigskyguys.com/,Locally owned since 1985. Plumbing + HVAC
"3 Brothers Plumbing & Heating",Plumbing+HVAC,406-449-4343,https://3brothersplumbing.com/,Family-owned 25+ yrs. Plumbing + HVAC + AC
"Lewis & Clark Plumbing",Plumbing,406-475-3207,,Local plumbing service
"Plumb Easy LLC",Plumbing,205-506-6044,,Locally owned (note: 205 area code - out of state?)
"All Season Heating & Cooling",HVAC,406-442-3658,https://allseasonheating-air.com/,Family-owned since 1984. HVAC
"Intermountain Heating and Air",HVAC,406-449-4567,,Family owned. HVAC
"Superior Heating & Cooling Inc",HVAC,406-458-9535,https://www.superiorheatinginc.com/,Locally trusted 25+ years. HVAC
"Last Best Heating & Air",HVAC,,https://lastbestheatingandair.com/,Family-owned. HVAC
"Eagle Electric",Electrical,406-442-8685,https://www.eagleelectricmt.com/,Serving Helena since 1995
"All Phase Electric LLC",Electrical,406-459-0386,https://all-phase-electric-llc.com/,Family-owned 35+ yrs. Residential + Commercial
"Third Element Contractors",Electrical,406-465-6945,https://3econtractors.com/,24hr emergency. Helena
"Slate Electrical Services",Electrical,406-461-7374,https://slateelectrical.com/,Family-owned. Helena + Bozeman
"AlpenGlow Electrical Services",Electrical,406-461-3247,,Local family-owned
"406 Electric",Electrical,406-422-2740,https://406electric.com/,Commercial + Residential
"Field's Tree Service",Tree Service,406-380-0175,https://fieldstreeservicemt.com/,Family-owned. Tree removal + trimming
"406 Tree Service",Tree Service,406-217-2044,https://www.406treeservice.com/,Family-owned. 12+ yrs. 5-star
"Professional Tree Services",Tree Service,406-916-7710,,Local. Helena + East Helena
"Christofferson Construction LLC",Roofing,406-422-5085,https://www.montanaroofing.com/,Roofing contractor
"Elkhorn Roofing",Roofing,406-461-2419,https://www.elkhornroofingmt.com/,Helena's #1 roofing
"Helena Roofing Company",Roofing,406-412-6944,https://www.helenaroofingpros.com/,Local. Free estimates
"406 Construction Consultants",Roofing+Gutters,406-594-4996,https://406roof.com/,Roofing + gutters
"Helena Roofing",Roofing,406-285-1398,,Full service roofing. Greater Helena
"Helena Septic",Septic+Drain,406-442-1430,https://www.helenaseptic.com/,24/7 septic pumping
"Big Sky Septic",Septic,406-459-6990,https://bigskyseptic.com/,Septic pumping + repair
"Capital Septic Service",Septic,406-431-8578,https://capitalsepticmt.com/,Septic maintenance
